selector,file,action,reason,original_declarations,new_declarations
.form-section__header,pages/meetings/meeting-form.css,trimmed (overlap removed),Removed overlapping properties ['padding'] from lower-priority definition,padding: var(--spacing-4),
.form-section--iep .form-section__header,pages/meetings/meeting-form.css,dropped (covered by higher priority),.form-section--iep .form-section__header in pages/meetings/meeting-form.css fully subset of accumulated higher-priority declarations,"background-color: rgba(243, 156, 18, 0.1)",
.form-section__header h2,pages/meetings/meeting-form.css,dropped (covered by higher priority),.form-section__header h2 in pages/meetings/meeting-form.css fully subset of accumulated higher-priority declarations,align-items: center; color: var(--color-text-primary); display: flex; font-size: var(--font-size-xl); font-weight: var(--font-weight-semibold); gap: var(--spacing-3); margin: 0 0 var(--spacing-2) 0,
.form-section--iep .form-section__header h2,pages/meetings/meeting-form.css,dropped (covered by higher priority),.form-section--iep .form-section__header h2 in pages/meetings/meeting-form.css fully subset of accumulated higher-priority declarations,color: var(--color-warning),
.form-section__header p,pages/meetings/meeting-form.css,dropped (covered by higher priority),.form-section__header p in pages/meetings/meeting-form.css fully subset of accumulated higher-priority declarations,color: var(--color-text-secondary); font-size: var(--font-size-sm); line-height: 1.5; margin: 0,
.form-section__content,features/meeting-records.css,trimmed (overlap removed),Removed overlapping properties ['padding'] from lower-priority definition,padding: var(--spacing-4),
.form-section__content,pages/meetings/meeting-form.css,dropped (covered by higher priority),.form-section__content in pages/meetings/meeting-form.css fully subset of accumulated higher-priority declarations,padding: var(--spacing-6),
.form-section__content,pages/meetings/meeting-form.css,trimmed (overlap removed),Removed overlapping properties ['padding'] from lower-priority definition,padding: var(--spacing-4),
"/* ========================================
   FORM GRID LAYOUTS
======================================== */

.form-grid",pages/meetings/meeting-form.css,dropped (covered by higher priority),"/* ========================================
   FORM GRID LAYOUTS
======================================== */

.form-grid in pages/meetings/meeting-form.css fully subset of accumulated higher-priority declarations","display: grid; gap: var(--spacing-6); grid-template-columns: repeat(auto-fit, minmax(300px, 1fr))",
.form-grid--two,pages/meetings/meeting-form.css,dropped (covered by higher priority),.form-grid--two in pages/meetings/meeting-form.css fully subset of accumulated higher-priority declarations,"grid-template-columns: repeat(2, 1fr)",
.form-grid--three,pages/meetings/meeting-form.css,dropped (covered by higher priority),.form-grid--three in pages/meetings/meeting-form.css fully subset of accumulated higher-priority declarations,"grid-template-columns: repeat(3, 1fr)",
.form-group--full,pages/meetings/meeting-form.css,dropped (covered by higher priority),.form-group--full in pages/meetings/meeting-form.css fully subset of accumulated higher-priority declarations,grid-column: 1 / -1,
"/* ========================================
   INPUT WITH ICONS
======================================== */

.input-with-icon",pages/meetings/meeting-form.css,trimmed (overlap removed),Removed overlapping properties ['position'] from lower-priority definition,align-items: center; display: flex; position: relative,align-items: center; display: flex
.input-with-icon .input-icon,pages/meetings/meeting-form.css,dropped (covered by higher priority),.input-with-icon .input-icon in pages/meetings/meeting-form.css fully subset of accumulated higher-priority declarations,color: var(--color-text-muted); left: var(--spacing-3); pointer-events: none; position: absolute; top: 50%; transform: translateY(-50%); z-index: 1,
.input-with-icon .form-input,features/meeting-records.css,dropped (covered by higher priority),.input-with-icon .form-input in features/meeting-records.css fully subset of accumulated higher-priority declarations,padding-left: var(--spacing-10),
.input-with-icon .form-input,pages/meetings/meeting-form.css,dropped (covered by higher priority),.input-with-icon .form-input in pages/meetings/meeting-form.css fully subset of accumulated higher-priority declarations,padding-left: var(--spacing-10),
.input-with-icon .form-textarea,features/meeting-records.css,dropped (covered by higher priority),.input-with-icon .form-textarea in features/meeting-records.css fully subset of accumulated higher-priority declarations,padding-left: var(--spacing-10),
.input-with-icon .form-textarea,pages/meetings/meeting-form.css,dropped (covered by higher priority),.input-with-icon .form-textarea in pages/meetings/meeting-form.css fully subset of accumulated higher-priority declarations,padding-left: var(--spacing-10),
"/* ========================================
   FORM TEXTAREA VARIANTS
======================================== */

.form-textarea--large",pages/meetings/meeting-form.css,dropped (covered by higher priority),"/* ========================================
   FORM TEXTAREA VARIANTS
======================================== */

.form-textarea--large in pages/meetings/meeting-form.css fully subset of accumulated higher-priority declarations",min-height: 150px; resize: vertical,
.form-textarea--medium,pages/meetings/meeting-form.css,dropped (covered by higher priority),.form-textarea--medium in pages/meetings/meeting-form.css fully subset of accumulated higher-priority declarations,min-height: 120px; resize: vertical,
.form-textarea--small,features/meeting-records.css,trimmed (overlap removed),Removed overlapping properties ['min-height'] from lower-priority definition,min-height: 80px; resize: vertical,resize: vertical
.form-textarea--small,pages/meetings/meeting-form.css,trimmed (overlap removed),"Removed overlapping properties ['min-height', 'resize'] from lower-priority definition",min-height: 80px; resize: vertical,
"/* ========================================
   SEN CATEGORIES GRID
======================================== */

.sen-categories-grid",pages/meetings/meeting-form.css,dropped (covered by higher priority),"/* ========================================
   SEN CATEGORIES GRID
======================================== */

.sen-categories-grid in pages/meetings/meeting-form.css fully subset of accumulated higher-priority declarations","display: grid; gap: var(--spacing-3); grid-template-columns: repeat(auto-fit, minmax(250px, 1fr)); margin-top: var(--spacing-4)",
.sen-category-item,pages/meetings/meeting-form.css,trimmed (overlap removed),"Removed overlapping properties ['align-items', 'background-color', 'border', 'border-radius', 'cursor', 'display', 'gap', 'padding', 'transition', 'user-select'] from lower-priority definition",align-items: center; background-color: var(--color-background-light); border: 2px solid var(--color-border-light); border-radius: var(--border-radius-md); cursor: pointer; display: flex; gap: var(--spacing-3); padding: var(--spacing-3); transition: all var(--transition-fast); user-select: none,
.sen-category-item:hover,pages/meetings/meeting-form.css,dropped (covered by higher priority),.sen-category-item:hover in pages/meetings/meeting-form.css fully subset of accumulated higher-priority declarations,background-color: var(--color-white); border-color: var(--color-border),
.sen-category-item--checked,pages/meetings/meeting-form.css,dropped (covered by higher priority),.sen-category-item--checked in pages/meetings/meeting-form.css fully subset of accumulated higher-priority declarations,background-color: var(--color-primary-light); border-color: var(--color-primary); color: var(--color-primary),
.meeting-type-badge--regular,features/meeting-records.css,dropped (covered by higher priority),.meeting-type-badge--regular in features/meeting-records.css fully subset of accumulated higher-priority declarations,background-color: var(--color-success-light); color: var(--color-success),
.meeting-type-badge--regular,pages/meetings/meeting-cards.css,trimmed (overlap removed),"Removed overlapping properties ['background-color', 'color'] from lower-priority definition",background-color: var(--color-success-light); border: 1px solid var(--color-success-border); color: var(--color-success),border: 1px solid var(--color-success-border)
.meeting-type-badge--regular,pages/schools_students/students/student-details.css,trimmed (overlap removed),"Removed overlapping properties ['background-color', 'color'] from lower-priority definition",background-color: var(--color-info-light); color: var(--color-text-primary),
.meeting-type-badge--iep,features/meeting-records.css,dropped (covered by higher priority),.meeting-type-badge--iep in features/meeting-records.css fully subset of accumulated higher-priority declarations,background-color: var(--color-warning-light); color: var(--color-warning),
.meeting-type-badge--iep,pages/meetings/meeting-cards.css,trimmed (overlap removed),"Removed overlapping properties ['background-color', 'color'] from lower-priority definition",background-color: var(--color-warning-light); border: 1px solid var(--color-warning-border); color: var(--color-warning),border: 1px solid var(--color-warning-border)
.meeting-type-badge--iep,pages/schools_students/students/student-details.css,trimmed (overlap removed),"Removed overlapping properties ['background-color', 'color'] from lower-priority definition",background-color: var(--color-warning-light); color: var(--color-text-primary),
.meeting-records__list-header,pages/meetings/meeting-records.css,dropped (covered by higher priority),.meeting-records__list-header in pages/meetings/meeting-records.css fully subset of accumulated higher-priority declarations,background-color: var(--color-background-light); border-bottom: 1px solid var(--color-border-light); padding: var(--spacing-6),
.meeting-records__list-header h2,pages/meetings/meeting-records.css,dropped (covered by higher priority),.meeting-records__list-header h2 in pages/meetings/meeting-records.css fully subset of accumulated higher-priority declarations,align-items: center; color: var(--color-text-primary); display: flex; font-size: var(--font-size-xl); font-weight: var(--font-weight-semibold); gap: var(--spacing-2); margin: 0,
.meeting-count,pages/meetings/meeting-records.css,trimmed (overlap removed),"Removed overlapping properties ['color', 'font-weight'] from lower-priority definition",color: var(--color-text-muted); font-size: var(--font-size-base); font-weight: var(--font-weight-normal),font-size: var(--font-size-base)
.meeting-card,features/meeting-records.css,trimmed (overlap removed),Removed overlapping properties ['border'] from lower-priority definition,border: 1px solid var(--color-border); box-shadow: none; break-inside: avoid,box-shadow: none; break-inside: avoid
.meeting-card,features/meeting-records.css,trimmed (overlap removed),Removed overlapping properties ['padding'] from lower-priority definition,padding: var(--spacing-4),
.meeting-card,pages/schools_students/students/student-details.css,trimmed (overlap removed),"Removed overlapping properties ['background-color', 'border', 'border-radius', 'padding'] from lower-priority definition",background-color: var(--color-background); border: 1px solid var(--color-border-light); border-radius: var(--border-radius-lg); display: flex; flex-direction: column; gap: var(--spacing-4); padding: var(--spacing-5); position: relative,display: flex; flex-direction: column; gap: var(--spacing-4); position: relative
.meeting-card,pages/meetings/meeting-cards.css,trimmed (overlap removed),Removed overlapping properties ['padding'] from lower-priority definition,padding: var(--spacing-4),
.meeting-card:hover,features/meeting-records.css,trimmed (overlap removed),Removed overlapping properties ['transform'] from lower-priority definition,transform: none,
.meeting-card:hover,pages/meetings/meeting-cards.css,dropped (covered by higher priority),.meeting-card:hover in pages/meetings/meeting-cards.css fully subset of accumulated higher-priority declarations,border-color: var(--color-border); box-shadow: var(--shadow-md); transform: translateY(-2px),
.meeting-card:hover,pages/meetings/meeting-cards.css,trimmed (overlap removed),Removed overlapping properties ['transform'] from lower-priority definition,transform: none,
.meeting-card--iep,pages/meetings/meeting-cards.css,dropped (covered by higher priority),.meeting-card--iep in pages/meetings/meeting-cards.css fully subset of accumulated higher-priority declarations,"background-color: rgba(243, 156, 18, 0.02); border-left: 4px solid var(--color-warning)",
.meeting-card__header,features/meeting-records.css,trimmed (overlap removed),Removed overlapping properties ['gap'] from lower-priority definition,flex-direction: column; gap: var(--spacing-3),flex-direction: column
.meeting-card__header,pages/schools_students/students/student-details.css,trimmed (overlap removed),"Removed overlapping properties ['align-items', 'display', 'gap', 'justify-content'] from lower-priority definition",align-items: flex-start; display: flex; flex-wrap: wrap; gap: var(--spacing-4); justify-content: space-between,flex-wrap: wrap
.meeting-card__header,pages/meetings/meeting-cards.css,trimmed (overlap removed),"Removed overlapping properties ['align-items', 'flex-direction', 'gap'] from lower-priority definition",align-items: flex-start; flex-direction: column; gap: var(--spacing-3),
.meeting-card__title,pages/meetings/meeting-cards.css,trimmed (overlap removed),"Removed overlapping properties ['align-items', 'display', 'gap'] from lower-priority definition",align-items: center; display: flex; flex: 1; gap: var(--spacing-3); min-width: 0,flex: 1; min-width: 0
.meeting-card__title,pages/schools_students/students/student-details.css,trimmed (overlap removed),"Removed overlapping properties ['align-items', 'display', 'gap'] from lower-priority definition",align-items: center; display: flex; gap: var(--spacing-2),
.meeting-card__title,pages/meetings/meeting-cards.css,trimmed (overlap removed),"Removed overlapping properties ['align-items', 'gap'] from lower-priority definition",align-items: flex-start; flex-direction: column; gap: var(--spacing-2),flex-direction: column
.meeting-card__title h3,pages/schools_students/students/student-details.css,dropped (same-priority subset),.meeting-card__title h3 in pages/schools_students/students/student-details.css is strict subset of same-priority pages/meetings/meeting-cards.css,font-size: var(--font-size-lg); font-weight: var(--font-weight-semibold); margin: 0,
.meeting-card__title h3,pages/meetings/meeting-cards.css,trimmed (overlap removed),"Removed overlapping properties ['color', 'font-size', 'font-weight', 'line-height', 'margin'] from lower-priority definition",color: var(--color-text-primary); font-size: var(--font-size-lg); font-weight: var(--font-weight-semibold); line-height: 1.3; margin: 0; word-break: break-word,word-break: break-word
.meeting-card__title h3,pages/meetings/meeting-cards.css,trimmed (overlap removed),Removed overlapping properties ['font-size'] from lower-priority definition,font-size: var(--font-size-base),
.meeting-card__title h3,pages/meetings/meeting-cards.css,trimmed (overlap removed),Removed overlapping properties ['font-weight'] from lower-priority definition,font-weight: var(--font-weight-bold),
.meeting-card__meta,features/meeting-records.css,trimmed (overlap removed),Removed overlapping properties ['align-items'] from lower-priority definition,align-items: flex-start,
.meeting-card__date,pages/schools_students/students/student-details.css,dropped (same-priority subset),.meeting-card__date in pages/schools_students/students/student-details.css is strict subset of same-priority pages/meetings/meeting-cards.css,color: var(--color-text-muted); font-size: var(--font-size-sm); white-space: nowrap,
.meeting-card__date,pages/meetings/meeting-cards.css,trimmed (overlap removed),"Removed overlapping properties ['align-items', 'color', 'display', 'font-size', 'font-weight', 'gap'] from lower-priority definition",align-items: center; color: var(--color-text-muted); display: flex; flex-shrink: 0; font-size: var(--font-size-sm); font-weight: var(--font-weight-medium); gap: var(--spacing-1); white-space: nowrap,flex-shrink: 0; white-space: nowrap
.meeting-card__actions,pages/meetings/meeting-cards.css,trimmed (overlap removed),Removed overlapping properties ['align-items'] from lower-priority definition,align-items: stretch; flex-direction: column,flex-direction: column
.filter-grid,features/meeting-records.css,trimmed (overlap removed),"Removed overlapping properties ['gap', 'grid-template-columns'] from lower-priority definition",gap: var(--spacing-4); grid-template-columns: 1fr,
.filter-grid,pages/reports.css,trimmed (overlap removed),"Removed overlapping properties ['display', 'gap', 'grid-template-columns'] from lower-priority definition","display: grid; gap: var(--spacing-6); grid-template-columns: repeat(auto-fit, minmax(200px, 1fr)); margin-bottom: var(--spacing-6)",margin-bottom: var(--spacing-6)
.filter-grid,pages/integration/filters.css,trimmed (overlap removed),Removed overlapping properties ['gap'] from lower-priority definition,gap: var(--spacing-3),
.filter-group,pages/year_summary/year_controls.css,trimmed (overlap removed),"Removed overlapping properties ['display', 'gap'] from lower-priority definition",align-items: center; display: flex; gap: var(--spacing-2); position: relative,align-items: center; position: relative
.filter-group,pages/schools_students/schools/schools.css,dropped (covered by higher priority),.filter-group in pages/schools_students/schools/schools.css fully subset of accumulated higher-priority declarations,align-items: center; display: flex; gap: var(--spacing-2); position: relative,
.filter-group,pages/reports.css,dropped (covered by higher priority),.filter-group in pages/reports.css fully subset of accumulated higher-priority declarations,display: flex; flex-direction: column; gap: var(--spacing-2),
.filter-group,pages/schools_students/students/students.css,dropped (covered by higher priority),.filter-group in pages/schools_students/students/students.css fully subset of accumulated higher-priority declarations,display: flex; flex-direction: column; gap: var(--spacing-2),
.filter-group,pages/schools_students/schools/schools.css,dropped (covered by higher priority),.filter-group in pages/schools_students/schools/schools.css fully subset of accumulated higher-priority declarations,display: flex; flex-direction: column; gap: var(--spacing-2),
.filter-label,pages/reports.css,dropped (same-priority subset),.filter-label in pages/reports.css is strict subset of same-priority pages/integration/filters.css,align-items: center; color: var(--color-text-primary); display: flex; font-size: var(--font-size-sm); font-weight: var(--font-weight-medium); gap: var(--spacing-2),
.filter-label,pages/schools_students/students/students.css,dropped (same-priority subset),.filter-label in pages/schools_students/students/students.css is strict subset of same-priority pages/integration/filters.css,color: var(--color-text-primary); font-size: var(--font-size-sm); font-weight: var(--font-weight-medium),
.filter-label,pages/schools_students/schools/schools.css,dropped (same-priority subset),.filter-label in pages/schools_students/schools/schools.css is strict subset of same-priority pages/integration/filters.css,color: var(--color-text-primary); font-size: var(--font-size-sm); font-weight: var(--font-weight-medium),
.filter-label,pages/integration/filters.css,trimmed (overlap removed),"Removed overlapping properties ['align-items', 'color', 'display', 'font-size', 'font-weight', 'gap'] from lower-priority definition",align-items: center; color: var(--color-text-primary); display: flex; font-size: var(--font-size-sm); font-weight: var(--font-weight-medium); gap: var(--spacing-2); margin-bottom: var(--spacing-2),margin-bottom: var(--spacing-2)
.filter-label,pages/meetings/filter-steps.css,trimmed (overlap removed),"Removed overlapping properties ['align-items', 'color', 'display', 'font-size', 'font-weight', 'gap'] from lower-priority definition",align-items: center; color: var(--color-text-primary); display: flex; font-size: var(--font-size-sm); font-weight: var(--font-weight-semibold); gap: var(--spacing-2); margin: 0,margin: 0
.filter-label,pages/integration/filters.css,trimmed (overlap removed),Removed overlapping properties ['font-size'] from lower-priority definition,font-size: var(--font-size-xs),
.filter-label,pages/integration/filters.css,trimmed (overlap removed),Removed overlapping properties ['font-weight'] from lower-priority definition,font-weight: var(--font-weight-bold),
.filter-label,pages/meetings/filter-steps.css,trimmed (overlap removed),Removed overlapping properties ['font-size'] from lower-priority definition,font-size: var(--font-size-xs),
"/* ========================================
   MEETING TYPE SELECTOR
======================================== */

.meeting-type-selector",pages/meetings/filter-steps.css,dropped (covered by higher priority),"/* ========================================
   MEETING TYPE SELECTOR
======================================== */

.meeting-type-selector in pages/meetings/filter-steps.css fully subset of accumulated higher-priority declarations","display: grid; gap: var(--spacing-3); grid-template-columns: repeat(auto-fit, minmax(200px, 1fr))",
"/* ========================================
   EMPTY STATES
======================================== */

.meeting-records__empty",pages/meetings/meeting-records.css,dropped (covered by higher priority),"/* ========================================
   EMPTY STATES
======================================== */

.meeting-records__empty in pages/meetings/meeting-records.css fully subset of accumulated higher-priority declarations",align-items: center; background-color: var(--color-white); border: 2px dashed var(--color-border); border-radius: var(--border-radius-lg); display: flex; flex-direction: column; justify-content: center; margin: var(--spacing-8) 0; padding: var(--spacing-16); text-align: center,
.meeting-records__no-selection,features/meeting-records.css,trimmed (overlap removed),Removed overlapping properties ['padding'] from lower-priority definition,padding: var(--spacing-8),
.meeting-records__empty svg,pages/meetings/meeting-records.css,dropped (covered by higher priority),.meeting-records__empty svg in pages/meetings/meeting-records.css fully subset of accumulated higher-priority declarations,color: var(--color-text-muted); margin-bottom: var(--spacing-6),
.meeting-records__empty h3,pages/meetings/meeting-records.css,dropped (covered by higher priority),.meeting-records__empty h3 in pages/meetings/meeting-records.css fully subset of accumulated higher-priority declarations,color: var(--color-text-primary); font-size: var(--font-size-xl); margin-bottom: var(--spacing-4),
.meeting-records__empty p,pages/meetings/meeting-records.css,dropped (covered by higher priority),.meeting-records__empty p in pages/meetings/meeting-records.css fully subset of accumulated higher-priority declarations,color: var(--color-text-secondary); line-height: 1.5; margin-bottom: var(--spacing-6); margin-left: auto; margin-right: auto; max-width: 400px,
"/* ========================================
   ERROR MESSAGES
======================================== */

.error-message",pages/meetings/meeting-form.css,dropped (covered by higher priority),"/* ========================================
   ERROR MESSAGES
======================================== */

.error-message in pages/meetings/meeting-form.css fully subset of accumulated higher-priority declarations",align-items: center; background-color: var(--color-error-light); border: 1px solid var(--color-error-border); border-radius: var(--border-radius-md); color: var(--color-error); display: flex; font-size: var(--font-size-sm); font-weight: var(--font-weight-medium); gap: var(--spacing-2); margin-bottom: var(--spacing-6); padding: var(--spacing-4),
.error-message svg,pages/meetings/meeting-form.css,dropped (covered by higher priority),.error-message svg in pages/meetings/meeting-form.css fully subset of accumulated higher-priority declarations,flex-shrink: 0,
.meeting-records__header,pages/meetings/meeting-records.css,trimmed (overlap removed),"Removed overlapping properties ['align-items', 'flex-direction'] from lower-priority definition",align-items: stretch; flex-direction: column; padding: var(--spacing-6),padding: var(--spacing-6)
.meeting-records__header,pages/meetings/meeting-records.css,trimmed (overlap removed),Removed overlapping properties ['padding'] from lower-priority definition,padding: var(--spacing-4),
.meeting-records__stats,features/meeting-records.css,trimmed (overlap removed),Removed overlapping properties ['grid-template-columns'] from lower-priority definition,grid-template-columns: 1fr,
.form-grid,components/forms/groups.css,trimmed (overlap removed),"Removed overlapping properties ['gap', 'grid-template-columns'] from lower-priority definition",gap: var(--spacing-4); grid-template-columns: 1fr,
.form-grid,features/meeting-records.css,trimmed (overlap removed),"Removed overlapping properties ['gap', 'grid-template-columns'] from lower-priority definition",gap: var(--spacing-4); grid-template-columns: 1fr,
.form-grid,pages/meetings/meeting-form.css,trimmed (overlap removed),"Removed overlapping properties ['gap', 'grid-template-columns'] from lower-priority definition",gap: var(--spacing-4); grid-template-columns: 1fr,
.sen-categories-grid,pages/meetings/meeting-form.css,dropped (covered by higher priority),.sen-categories-grid in pages/meetings/meeting-form.css fully subset of accumulated higher-priority declarations,gap: var(--spacing-2); grid-template-columns: 1fr,
.meeting-type-selector,pages/meetings/filter-steps.css,trimmed (overlap removed),Removed overlapping properties ['grid-template-columns'] from lower-priority definition,gap: var(--spacing-2); grid-template-columns: 1fr,gap: var(--spacing-2)
.meeting-records__empty,pages/meetings/meeting-records.css,dropped (covered by higher priority),.meeting-records__empty in pages/meetings/meeting-records.css fully subset of accumulated higher-priority declarations,padding: var(--spacing-8),
"}

/* ========================================
   ACCESSIBILITY ENHANCEMENTS
======================================== */

@media (prefers-reduced-motion: reduce)",pages/dashboard.css,trimmed (overlap removed),Removed overlapping properties ['transition'] from lower-priority definition,".dashboard,
  .dashboard__quick-actions-section,
  .dashboard__main-content {
    animation: none; transition: none",".dashboard,
  .dashboard__quick-actions-section,
  .dashboard__main-content {
    animation: none"
.loading-spinner--large,pages/schools_students/students/students.css,trimmed (overlap removed),"Removed overlapping properties ['border-width', 'height', 'width'] from lower-priority definition",border-width: 4px; height: 48px; width: 48px,
.form-loading p,pages/schools_students/create-forms.css,trimmed (overlap removed),"Removed overlapping properties ['color', 'margin'] from lower-priority definition",color: var(--color-text-secondary); font-size: var(--font-size-base); margin: 0,font-size: var(--font-size-base)
.transition-all,utilities/animations.css,trimmed (overlap removed),Removed overlapping properties ['transition'] from lower-priority definition,transition: none,
.transition,utilities/animations.css,trimmed (overlap removed),Removed overlapping properties ['transition'] from lower-priority definition,transition: none,
.transition-colors,utilities/animations.css,trimmed (overlap removed),Removed overlapping properties ['transition'] from lower-priority definition,transition: none,
.transition-opacity,utilities/animations.css,trimmed (overlap removed),Removed overlapping properties ['transition'] from lower-priority definition,transition: none,
.transition-shadow,utilities/animations.css,trimmed (overlap removed),Removed overlapping properties ['transition'] from lower-priority definition,transition: none,
.transition-transform,utilities/animations.css,trimmed (overlap removed),Removed overlapping properties ['transition'] from lower-priority definition,transition: none,
"}

@keyframes slideDown",pages/auth.css,dropped (covered by higher priority),"}

@keyframes slideDown in pages/auth.css fully subset of accumulated higher-priority declarations","from {
    opacity: 0; transform: translateY(-10px)",
"}

@keyframes slideDown",pages/schools_students/students/students.css,dropped (covered by higher priority),"}

@keyframes slideDown in pages/schools_students/students/students.css fully subset of accumulated higher-priority declarations","from {
    opacity: 0; transform: translateY(-10px)",
.grid-cols-3,utilities/layout.css,trimmed (overlap removed),Removed overlapping properties ['grid-template-columns'] from lower-priority definition,"grid-template-columns: repeat(1, minmax(0, 1fr))",
.grid-cols-4,utilities/layout.css,trimmed (overlap removed),Removed overlapping properties ['grid-template-columns'] from lower-priority definition,"grid-template-columns: repeat(2, minmax(0, 1fr))",
.grid-cols-5,utilities/layout.css,trimmed (overlap removed),Removed overlapping properties ['grid-template-columns'] from lower-priority definition,"grid-template-columns: repeat(2, minmax(0, 1fr))",
.grid-cols-5,utilities/layout.css,trimmed (overlap removed),Removed overlapping properties ['grid-template-columns'] from lower-priority definition,"grid-template-columns: repeat(1, minmax(0, 1fr))",
.grid-cols-6,utilities/layout.css,trimmed (overlap removed),Removed overlapping properties ['grid-template-columns'] from lower-priority definition,"grid-template-columns: repeat(2, minmax(0, 1fr))",
.grid-cols-6,utilities/layout.css,trimmed (overlap removed),Removed overlapping properties ['grid-template-columns'] from lower-priority definition,"grid-template-columns: repeat(1, minmax(0, 1fr))",
"}

@media (max-width: 768px)",pages/ai_analysis/ai_layout.css,trimmed (overlap removed),Removed overlapping properties ['align-items'] from lower-priority definition,".ai-analysis__header {
    flex-direction: column; align-items: stretch; padding: var(--spacing-6)",".ai-analysis__header {
    flex-direction: column; padding: var(--spacing-6)"
"}

@media (max-width: 768px)",pages/dashboard.css,trimmed (overlap removed),Removed overlapping properties ['align-items'] from lower-priority definition,".dashboard__header {
    flex-direction: column; align-items: flex-start",".dashboard__header {
    flex-direction: column"
"}

@media (max-width: 768px)",pages/schools_students/students/students.css,trimmed (overlap removed),Removed overlapping properties ['align-items'] from lower-priority definition,".students-management__header {
    flex-direction: column; align-items: stretch",".students-management__header {
    flex-direction: column"
@media (max-width: 768px),components/tables/responsive.css,trimmed (overlap removed),Removed overlapping properties ['gap'] from lower-priority definition,".pagination {
    flex-direction: column; gap: var(--spacing-3)",".pagination {
    flex-direction: column"
.table-scroll .table,components/tables/responsive.css,trimmed (overlap removed),Removed overlapping properties ['min-width'] from lower-priority definition,min-width: 600px,
.pagination__controls,components/tables/responsive.css,trimmed (overlap removed),Removed overlapping properties ['gap'] from lower-priority definition,gap: var(--spacing-1),
.pagination__btn,components/tables/responsive.css,trimmed (overlap removed),"Removed overlapping properties ['font-size', 'min-width', 'padding'] from lower-priority definition",font-size: var(--font-size-xs); min-width: 60px; padding: var(--spacing-2) var(--spacing-3),
.pagination__btn,pages/schools_students/students/students.css,trimmed (overlap removed),"Removed overlapping properties ['background-color', 'border', 'border-radius', 'color', 'cursor', 'font-size', 'font-weight', 'min-width', 'padding', 'transition'] from lower-priority definition",background-color: var(--color-white); border: 2px solid var(--color-border); border-radius: var(--border-radius-lg); color: var(--color-text-secondary); cursor: pointer; font-size: var(--font-size-sm); font-weight: var(--font-weight-medium); min-width: 100px; padding: var(--spacing-3) var(--spacing-5); transition: all var(--transition-fast),
.pagination__btn,pages/schools_students/students/students.css,trimmed (overlap removed),"Removed overlapping properties ['min-width', 'padding'] from lower-priority definition",min-width: 80px; padding: var(--spacing-2) var(--spacing-4),
.pagination__btn:hover:not(:disabled),pages/schools_students/students/students.css,trimmed (overlap removed),"Removed overlapping properties ['background-color', 'border-color', 'color'] from lower-priority definition",background-color: var(--color-primary); border-color: var(--color-primary); color: var(--color-white); transform: translateY(-1px),transform: translateY(-1px)
.pagination__btn:disabled,pages/schools_students/students/students.css,trimmed (overlap removed),"Removed overlapping properties ['cursor', 'opacity'] from lower-priority definition",cursor: not-allowed; opacity: 0.5; transform: none,transform: none
.pagination__info,pages/schools_students/students/students.css,dropped (covered by higher priority),.pagination__info in pages/schools_students/students/students.css fully subset of accumulated higher-priority declarations,background-color: var(--color-background-light); border: 1px solid var(--color-border); border-radius: var(--border-radius-md); color: var(--color-text-secondary); font-size: var(--font-size-sm); font-weight: var(--font-weight-medium); padding: var(--spacing-3) var(--spacing-4),
.pagination__info,pages/schools_students/students/students.css,dropped (covered by higher priority),.pagination__info in pages/schools_students/students/students.css fully subset of accumulated higher-priority declarations,order: -1,
.table-filters__search,components/tables/responsive.css,trimmed (overlap removed),Removed overlapping properties ['min-width'] from lower-priority definition,min-width: auto,
.student-info__avatar,pages/schools_students/students/students.css,dropped (same-priority subset),.student-info__avatar in pages/schools_students/students/students.css is strict subset of same-priority pages/schools_students/schools/schools.css,"align-items: center; background: linear-gradient(135deg, var(--color-primary), var(--color-primary-hover)); border-radius: var(--border-radius-full); color: var(--color-white); display: flex; flex-shrink: 0; font-weight: var(--font-weight-semibold); height: 40px; justify-content: center; width: 40px",
.student-info__avatar,components/tables/responsive.css,trimmed (overlap removed),"Removed overlapping properties ['font-size', 'height', 'width'] from lower-priority definition",font-size: 10px; height: 28px; width: 28px,
.student-info__avatar,pages/schools_students/schools/schools.css,trimmed (overlap removed),"Removed overlapping properties ['align-items', 'border-radius', 'color', 'display', 'flex-shrink', 'font-size', 'font-weight', 'height', 'justify-content', 'width'] from lower-priority definition","align-items: center; background: linear-gradient(135deg, var(--color-primary), var(--color-primary-hover)); border-radius: var(--border-radius-full); color: var(--color-white); display: flex; flex-shrink: 0; font-size: var(--font-size-base); font-weight: var(--font-weight-semibold); height: 40px; justify-content: center; width: 40px","background: linear-gradient(135deg, var(--color-primary), var(--color-primary-hover))"
.student-info__avatar,pages/schools_students/schools/schools.css,trimmed (overlap removed),"Removed overlapping properties ['font-size', 'height', 'width'] from lower-priority definition",font-size: var(--font-size-sm); height: 32px; width: 32px,
.student-info__details,pages/schools_students/students/students.css,dropped (covered by higher priority),.student-info__details in pages/schools_students/students/students.css fully subset of accumulated higher-priority declarations,flex: 1; min-width: 0,
.student-info__details,pages/schools_students/schools/schools.css,dropped (covered by higher priority),.student-info__details in pages/schools_students/schools/schools.css fully subset of accumulated higher-priority declarations,flex: 1; min-width: 0,
